8/22/2022 3:54 PM CommandAcquisChA  TX=WRITE_SETUP {"ACQUISITION_MODE":3,"TRIGGER_MODE":6,"READ_MODE":4,"PREAMP":0,"READOUT_RATE":0,"VERTICAL_SHIFT_SPEED":3,"EM_MODE":1,"EM_GAIN":2,"SHUTTER_MODE":2,"SHUTTER_TTL":0,"SHUTTER_OPENING_TIME":1,"SHUTTER_CLOSING_TIME":1,"VBIN":1,"HBIN":1,"INITIAL_LINE":1,"INITIAL_COLUMN":1,"FINAL_LINE":1024,"FINAL_COLUMN":1024,"FRAME_TRANSFER":true,"VERTICAL_CLOCK_VOLTAGE":0,"AD_CHANNEL":0}
8/22/2022 4:01 PM CommandSyncBox  TX=IN

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandAcquisChD  TX=EXPOSE
8/22/2022 4:01 PM CommandSyncBox  TX=FIre

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:01 PM CommandSyncBox  TX=FIre

8/22/2022 4:01 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=DDELAY 0m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=aset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=bset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=cset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=dset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=IN

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 4:02 PM ResponseSyncBox  RX=

     Highland Technology  Model T560  Digital Delay Generator

Firmware 28E560-D  02407                Cal date July 19, 2018      

Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00
Gate   OFF  POS  HIZ           Shots 0,000,000,220
Burst  OFF  N  0,000,000,016   of M  0,000,000,064

Verbos ON   Autoinstall FEOD   Usec 3,460,103,735  DPLL 00010
Clock  OUT  Trim 02166         Temp +49.1

Errs   None

Ch A  POS  ON     Dly  01.000,000,000,000  Wid  00.200,000,000,000
Ch B  POS  ON     Dly  01.500,000,000,000  Wid  00.200,000,000,000
Ch C  POS  ON     Dly  02.000,000,000,000  Wid  00.200,000,000,000
Ch D  POS  ON     Dly  00.000,000,000,000  Wid  00.200,000,000,000



8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=IN

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=TRigger

8/22/2022 4:02 PM CommandInstrument  TX=S4ICS WPROT STOP NONE,WPSEL NONE NONE,GMIR NONE NONE,GFOC NONE NONE,CALW NONE NONE,ASEL NONE NONE

8/22/2022 4:02 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 4:02 PM CommandSyncBox  TX=FIre

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM ResponseInstrument  RX=WPSEL SIMULATED BUSY 80 OFF 1, WPROT SIMULATED ACK 30 HOME 0, CALW SIMULATED READY 0.0 OFF 1, ASEL SIMULATED READY 0.0 OFF 1, GMIR SIMULATED READY 0.0 HOME 0, GFOC SIMULATED READY 0.0 HOME 0

8/22/2022 4:02 PM CommandAcquisChD  TX=SET EXPTIME 0.500000
8/22/2022 4:02 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:02 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 4:02 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:02 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 4:02 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:02 PM CommandAcquisChD  TX=SET SUFFIX DARK
8/22/2022 4:02 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:02 PM CommandAcquisChD  TX=SET OBSTYPE DARK
8/22/2022 4:02 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:02 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=DDELAY 0m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=aset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=bset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=cset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=dset on

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=IN

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 4:02 PM ResponseSyncBox  RX=

     Highland Technology  Model T560  Digital Delay Generator

Firmware 28E560-D  02407                Cal date July 19, 2018      

Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00
Gate   OFF  POS  HIZ           Shots 0,000,000,221
Burst  OFF  N  0,000,000,016   of M  0,000,000,064

Verbos ON   Autoinstall FEOD   Usec 3,473,933,547  DPLL 00010
Clock  OUT  Trim 02166         Temp +49.0

Errs   None

Ch A  POS  ON     Dly  01.000,000,000,000  Wid  00.200,000,000,000
Ch B  POS  ON     Dly  01.500,000,000,000  Wid  00.200,000,000,000
Ch C  POS  ON     Dly  02.000,000,000,000  Wid  00.200,000,000,000
Ch D  POS  ON     Dly  00.000,000,000,000  Wid  00.200,000,000,000



8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=IN

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:02 PM CommandSyncBox  TX=TRigger

8/22/2022 4:02 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 4:02 PM CommandSyncBox  TX=FIre

8/22/2022 4:02 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandAcquisChD  TX=SET EXPTIME 0.500000
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET SUFFIX DARK
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET OBSTYPE DARK
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=DDELAY 0m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=aset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=bset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=cset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=dset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=IN

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=IN

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=TRigger

8/22/2022 4:03 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 4:03 PM CommandSyncBox  TX=FIre

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandAcquisChD  TX=SET EXPTIME 0.500000
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET #FRAMES 5.000000
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET #CUBES 1.0000 
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET SUFFIX DARK
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandAcquisChD  TX=SET OBSTYPE DARK
8/22/2022 4:03 PM ResponseAcquisChD  RX=DONE
8/22/2022 4:03 PM CommandSyncBox  TX=ADELAY 1000m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=BDELAY 1500m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=CDELAY 2000m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=DDELAY 0m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=AWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=BWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=CWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=DWIDTH 200m

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=aset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=bset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=cset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=dset on

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=IN

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=TRigger REmote

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=IN

8/22/2022 4:03 PM ResponseSyncBox  RX=OK

8/22/2022 4:03 PM CommandSyncBox  TX=TRigger

8/22/2022 4:04 PM ResponseSyncBox  RX=Trig   REM  50R  Level 1.250   Div   0,000,000,000  SYN 00,010,000.00

8/22/2022 4:04 PM CommandSyncBox  TX=FIre

8/22/2022 4:04 PM ResponseSyncBox  RX=OK

